season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20062007,1144,COL,2007-03-27,3,0 days 00:19:11.000000000,,0 days 00:19:27.000000000,,0 days 00:00:16.000000000,
20062007,171,ATL,2006-11-01,3,0 days 00:18:25.000000000,,0 days 00:18:34.000000000,,0 days 00:00:09.000000000,
20062007,29,EDM,2006-10-07,3,0 days 00:18:49.000000000,,,,,0 days 00:01:11.000000000
20062007,872,NSH,2007-02-16,3,0 days 00:18:51.000000000,,,,,0 days 00:01:09.000000000
20062007,464,DAL,2006-12-14,3,0 days 00:17:28.000000000,,0 days 00:18:57.000000000,,0 days 00:01:29.000000000,
20062007,1001,BUF,2007-03-07,3,0 days 00:19:51.000000000,,,,,0 days 00:00:09.000000000
20062007,258,VAN,2006-11-14,3,0 days 00:18:42.000000000,,,,,0 days 00:01:18.000000000
20062007,864,PHI,2007-02-15,3,0 days 00:17:07.000000000,,,,,0 days 00:02:53.000000000
20062007,1152,CBJ,2007-03-29,3,0 days 00:18:29.000000000,,0 days 00:19:58.000000000,,0 days 00:01:29.000000000,
20062007,537,T.B,2006-12-26,3,0 days 00:19:51.000000000,,0 days 00:19:51.000000000,,0 days 00:00:00.000000000,
20062007,188,WSH,2006-11-03,3,0 days 00:19:05.000000000,,,,,0 days 00:00:55.000000000
20062007,472,EDM,2006-12-15,3,0 days 00:15:47.000000000,,,,,0 days 00:04:13.000000000
20062007,921,BOS,2007-02-23,3,0 days 00:19:37.000000000,,,,,0 days 00:00:23.000000000
20062007,560,NYR,2006-12-29,3,0 days 00:19:16.000000000,,,,,0 days 00:00:44.000000000
20062007,1105,PIT,2007-03-22,3,0 days 00:18:25.000000000,,,,,0 days 00:01:35.000000000
20062007,130,S.J,2006-10-25,3,0 days 00:18:53.000000000,,,,,0 days 00:01:07.000000000
20062007,87,PIT,2006-10-18,3,0 days 00:19:11.000000000,,,,,0 days 00:00:49.000000000
20062007,976,MTL,2007-03-03,3,0 days 00:18:40.000000000,,,,,0 days 00:01:20.000000000
20062007,1040,NYR,2007-03-13,3,0 days 00:19:19.000000000,,,,,0 days 00:00:41.000000000
20062007,649,S.J,2007-01-10,3,0 days 00:19:29.000000000,,,,,0 days 00:00:31.000000000
20062007,13,STL,2006-10-05,3,0 days 00:18:54.000000000,0 days 00:19:54.000000000,,0 days 00:01:00.000000000,,
20062007,262,CBJ,2006-11-15,3,0 days 00:18:47.000000000,,,,,0 days 00:01:13.000000000
20062007,632,DET,2007-01-07,3,0 days 00:18:35.000000000,,0 days 00:19:55.000000000,,0 days 00:01:20.000000000,
20062007,777,COL,2007-02-01,3,0 days 00:18:55.000000000,,0 days 00:19:24.000000000,,0 days 00:00:29.000000000,
20062007,665,BOS,2007-01-13,3,0 days 00:17:23.000000000,,,,,0 days 00:02:37.000000000
20062007,235,OTT,2006-11-11,3,0 days 00:19:32.000000000,,,,,0 days 00:00:28.000000000
20062007,1200,PHI,2007-04-05,3,0 days 00:18:43.000000000,,,,,0 days 00:01:17.000000000
20062007,720,PIT,2007-01-20,3,0 days 00:15:03.000000000,,,,,0 days 00:04:57.000000000
20062007,1095,DET,2007-03-20,3,0 days 00:19:04.000000000,,,,,0 days 00:00:56.000000000
20062007,52,NSH,2006-10-12,3,0 days 00:18:24.000000000,,0 days 00:19:23.000000000,,0 days 00:00:59.000000000,
20062007,448,FLA,2006-12-12,3,0 days 00:19:12.000000000,,,,,0 days 00:00:48.000000000
20062007,1168,PIT,2007-03-31,3,0 days 00:19:00.000000000,0 days 00:19:56.000000000,,0 days 00:00:56.000000000,,
20062007,274,CBJ,2006-11-17,3,0 days 00:18:30.000000000,,,,,0 days 00:01:30.000000000
20062007,331,T.B,2006-11-24,3,0 days 00:19:00.000000000,0 days 00:19:39.000000000,,0 days 00:00:39.000000000,,
20062007,716,NYR,2007-01-20,3,0 days 00:19:21.000000000,,0 days 00:19:36.000000000,,0 days 00:00:15.000000000,
20062007,203,PIT,2006-11-04,3,0 days 00:18:53.000000000,,,,,0 days 00:01:07.000000000
20062007,653,PHI,2007-01-11,3,0 days 00:18:22.000000000,,,,,0 days 00:01:38.000000000
20062007,983,CAR,2007-03-04,3,0 days 00:17:56.000000000,,,,,0 days 00:02:04.000000000
20062007,72,ANA,2006-10-15,3,0 days 00:18:47.000000000,0 days 00:19:41.000000000,,0 days 00:00:54.000000000,,
20062007,741,BOS,2007-01-27,3,0 days 00:18:52.000000000,,0 days 00:19:14.000000000,,0 days 00:00:22.000000000,
20062007,741,BOS,2007-01-27,3,0 days 00:19:21.000000000,,,,,0 days 00:00:39.000000000
20062007,604,CAR,2007-01-04,3,0 days 00:18:07.000000000,,,,,0 days 00:01:53.000000000
20062007,254,S.J,2006-11-13,3,0 days 00:19:09.000000000,,0 days 00:19:37.000000000,,0 days 00:00:28.000000000,
20062007,25,T.B,2006-10-07,3,0 days 00:18:05.000000000,,,,,0 days 00:01:55.000000000
20062007,192,BOS,2006-11-04,3,0 days 00:18:44.000000000,0 days 00:19:13.000000000,,0 days 00:00:29.000000000,,
20062007,468,S.J,2006-12-14,3,0 days 00:18:53.000000000,,,,,0 days 00:01:07.000000000
20062007,891,COL,2007-02-18,3,0 days 00:19:16.000000000,,,,,0 days 00:00:44.000000000
20062007,242,COL,2006-11-11,3,0 days 00:18:48.000000000,,,,,0 days 00:01:12.000000000
20062007,612,BUF,2007-01-05,3,0 days 00:19:15.000000000,,0 days 00:19:47.000000000,,0 days 00:00:32.000000000,
20062007,491,CGY,2006-12-18,3,0 days 00:18:40.000000000,,0 days 00:18:53.000000000,,0 days 00:00:13.000000000,
20062007,33,VAN,2006-10-08,3,0 days 00:18:21.000000000,,,,,0 days 00:01:39.000000000
20062007,868,CGY,2007-02-15,3,0 days 00:18:57.000000000,,0 days 00:19:50.000000000,,0 days 00:00:53.000000000,
20062007,887,S.J,2007-02-18,3,0 days 00:18:16.000000000,,0 days 00:18:25.000000000,,0 days 00:00:09.000000000,
20062007,215,MIN,2006-11-07,3,0 days 00:19:13.000000000,,,,,0 days 00:00:47.000000000
20062007,64,PHI,2006-10-14,3,0 days 00:19:15.000000000,,,,,0 days 00:00:45.000000000
20062007,583,DAL,2006-12-31,3,0 days 00:18:26.000000000,,,,,0 days 00:01:34.000000000
20062007,452,DAL,2006-12-12,3,0 days 00:18:19.000000000,,,,,0 days 00:01:41.000000000
20062007,844,COL,2007-02-11,3,0 days 00:18:16.000000000,,,,,0 days 00:01:44.000000000
20062007,147,OTT,2006-10-28,3,0 days 00:19:30.000000000,,,,,0 days 00:00:30.000000000
20062007,1172,WSH,2007-03-31,3,0 days 00:19:38.000000000,,0 days 00:19:58.000000000,,0 days 00:00:20.000000000,
20062007,239,PIT,2006-11-11,3,0 days 00:17:30.000000000,,0 days 00:17:37.000000000,,0 days 00:00:07.000000000,
20062007,405,OTT,2006-12-06,3,0 days 00:17:43.000000000,,,,,0 days 00:02:17.000000000
20062007,540,MIN,2006-12-26,3,0 days 00:19:09.000000000,,,,,0 days 00:00:51.000000000
20062007,110,WSH,2006-10-21,3,0 days 00:18:28.000000000,,,,,0 days 00:01:32.000000000
20062007,48,OTT,2006-10-12,3,0 days 00:18:20.000000000,,,,,0 days 00:01:40.000000000
20062007,813,S.J,2007-02-06,3,0 days 00:18:09.000000000,,0 days 00:18:23.000000000,,0 days 00:00:14.000000000,
20062007,385,FLA,2006-12-02,3,0 days 00:19:06.000000000,,0 days 00:19:25.000000000,,0 days 00:00:19.000000000,
20062007,690,NYR,2007-01-16,3,0 days 00:19:22.000000000,,,,,0 days 00:00:38.000000000
20062007,1076,CGY,2007-03-17,3,0 days 00:18:21.000000000,,,,,0 days 00:01:39.000000000
20062007,940,BOS,2007-02-26,3,0 days 00:19:35.000000000,,,,,0 days 00:00:25.000000000
20062007,1133,ANA,2007-03-26,3,0 days 00:18:49.000000000,,,,,0 days 00:01:11.000000000
20062007,556,T.B,2006-12-28,3,0 days 00:19:26.000000000,,,,,0 days 00:00:34.000000000
20062007,782,STL,2007-02-02,3,0 days 00:19:02.000000000,,0 days 00:19:32.000000000,,0 days 00:00:30.000000000,
20062007,297,BOS,2006-11-20,3,0 days 00:18:43.000000000,,,,,0 days 00:01:17.000000000
20062007,917,COL,2007-02-22,3,0 days 00:18:12.000000000,0 days 00:18:15.000000000,,0 days 00:00:03.000000000,,
20062007,917,COL,2007-02-22,3,0 days 00:19:14.000000000,,,,,0 days 00:00:46.000000000
20062007,444,N.J,2006-12-12,3,0 days 00:19:35.000000000,0 days 00:19:41.000000000,,0 days 00:00:06.000000000,,
20062007,501,EDM,2006-12-19,3,0 days 00:18:59.000000000,,,,,0 days 00:01:01.000000000
20062007,1164,CBJ,2007-03-30,3,0 days 00:18:51.000000000,,,,,0 days 00:01:09.000000000
20062007,852,PHX,2007-02-13,3,0 days 00:18:47.000000000,,,,,0 days 00:01:13.000000000
